,0
0,so much
1,so many
2,much better
3,not sure
4,how much
5,very busy
6,worth it
7,as good
8,quite good
9,good too
10,really great
11,how many
12,pretty decent
13,well worth
14,highly recommended
15,very little
16,too busy
17,friendly and helpful
18,very small
19,super nice
20,great too
21,needless to say
22,too many
23,just okay
24,how good
25,really cool
26,even better
27,very sweet
28,fresh and delicious
29,very large
30,hot and sour
31,really bad
32,too long
33,very comfortable
34,really friendly
35,a little more
36,medium rare
37,really busy
38,consistently good
39,very accommodating
40,pretty tasty
41,pretty cool
42,fast and friendly
43,as much
44,most recent
45,so glad
46,so sweet
47,super busy
48,pretty bad
49,so much better
50,extremely friendly
51,very few
52,very limited
53,very long
54,pretty standard
55,only good
56,very pleasant
57,so fresh
58,totally worth
59,nice and clean
60,out of this world
61,friendly and attentive
62,pretty busy
63,definitely worth
64,very relaxing
65,so good
66,pretty great
67,pretty nice
68,way better
69,too crowded
70,a little slow
71,just right
72,not worth
73,very tender
74,too salty
75,how great
76,quick and friendly
77,very bland
78,pretty small
79,very knowledgeable
80,that bad
81,how busy
82,all good
83,quite tasty
84,very big
85,very simple
86,super tasty
87,piping hot
88,extremely nice
89,most amazing
90,very fair
91,much more
92,too small
93,pretty much
94,hot and fresh
95,very polite
96,very satisfied
97,very generous
98,worth the wait
99,quite busy
100,very high
101,most important
102,well done
103,way too much
104,very old
105,quite large
106,very easy
107,bad at all
108,very convenient
109,any better
110,so busy
111,super fast
112,very salty
113,a bit slow
114,all delicious
115,too late
116,completely different
117,take out
118,enough good
119,very nice and friendly
120,so happy
121,friendly and efficient
122,a bit pricey
123,how long
124,worth the money
125,very best
126,a bit dry
127,super fresh
128,needless to say i
129,mediocre at best
130,most delicious
131,fairly large
132,soft she will
133,as many
134,pretty full
135,as bad
136,very welcoming
137,very reasonably priced
138,helpful and friendly
139,very first
140,sweet and savory
141,pretty empty
142,good enough
143,extremely slow
144,extremely busy
145,ready to order
146,very hard
147,damn good
148,very unprofessional
149,very good
150,rather large
151,worth a try
152,really delicious
153,very quick
154,so excited
155,really hungry
156,absolutely wonderful
157,very modern
158,just fine
159,very cold
160,very popular
161,very unique
162,even worse
163,nice and friendly
164,very different
165,fresh and tasty
166,very difficult
167,very casual
168,very hot
169,very cheap
170,good at all
171,a little better
172,freshly baked
173,very disappointing
174,not enough
175,very efficient
176,watered down
177,very friendly and attentive
178,very low
179,too spicy
180,very crowded
181,brand new
182,so small
183,worth the drive
184,fresh and hot
185,quite nice
186,nice enough
187,close by
188,very personable
189,how amazing
190,fairly good
191,super delicious
192,really worth
193,pretty cheap
194,more than enough
195,very hungry
196,year old
197,very courteous
198,a little too much
199,most expensive
200,very clear
201,follow up
202,how delicious
203,friendly and quick
204,far better
205,super friendly and helpful
206,well seasoned
207,super cool
208,how wonderful
209,a lot better
210,great tasting
211,deep fried
212,less expensive
213,so comfortable
214,very interesting
215,very least
216,not good
217,friendly and fast
218,a bit much
219,very impressive
220,pretty clean
221,very loud
222,really helpful
223,very thick
224,so hard
225,so popular
226,most authentic
227,very crispy
228,free of charge
229,so helpful
230,much worse
231,much larger
232,just average
233,better than most
234,all you
235,too shabby
236,very next
237,completely empty
238,extremely dry
239,even busy
240,open late
241,a bit high
242,friendly and professional
243,so yummy
244,very short
245,a little bland
246,most popular
247,extremely friendly and helpful
248,incredibly friendly
249,so clean
250,quick and easy
251,pretty disappointed
252,very rushed
253,most disappointing
254,attentive and friendly
255,10 oz
256,super awesome
257,pretty solid
258,surprisingly good
259,worth the price
260,really impressed
261,thin and crispy
262,how big
263,so glad i did
264,hot sour
265,pretty high
266,too loud
267,very satisfying
268,so cute
269,so impressed
270,a bit steep
271,too bad
272,how hard
273,right at home
274,so long
275,ready to go
276,no different
277,that busy
278,pretty quick
279,busy at all
280,nice too
281,decently priced
282,not to like
283,good and cheap
284,so close
285,really fresh
286,too high
287,very quiet
288,very decent
289,much higher
290,extremely clean
291,ice cold
292,hard to find
293,very thin
294,worth every
295,second to none
296,fairly busy
297,pretty bland
298,a little dry
299,just what
300,fresh and crisp
301,better off
302,a little disappointed
303,amazing too
304,delicious and fresh
305,pretty simple
306,hot and spicy
307,friendly enough
308,quite sure
309,most beautiful
310,better and better
311,almost empty
312,really reasonable
313,as great
314,overly sweet
315,not much
316,too good
317,nice and crispy
318,very similar
319,really yummy
320,very much
321,so tender
322,rather small
323,not so much
324,how nice
325,a little small
326,super slow
327,way bigger
328,fairly quick
329,a little spicy
330,newly opened
331,pretty quiet
332,hard to come by
333,exactly what
334,real good
335,close to my house
336,too greasy
337,all amazing
338,equally delicious
339,so upset
340,a little high
341,absolutely ridiculous
342,very patient
343,too big
344,fairly clean
345,close to my work
346,very mediocre
347,very very good
348,very strong
349,kind of small
350,full of flavor
351,very annoying
352,a bit disappointing
353,fresh made
354,so flavorful
355,less than stellar
356,all very good
357,really small
358,a bit greasy
359,super hungry
360,a little tough
361,very memorable
362,very condescending
363,quite slow
364,african american
365,as big
366,taste wise
367,prompt and friendly
368,so loud
369,very picky
370,consistently delicious
371,well priced
372,tired of it
373,story short
374,a bit disappointed
375,super attentive
376,so big
377,not ready
378,quite delicious
379,very fun
380,way too salty
381,a lot more
382,extremely disappointed
383,a little easier
384,very own
385,very caring
386,very painful
387,more affordable
388,too special
389,very greasy
390,totally different
391,so hot
392,good to go
393,a little overpriced
394,worth every penny
395,more reasonable
396,pretty reasonable
397,extremely helpful
398,out of the way
399,pretty large
400,hot and delicious
401,not great
402,really hot
403,how large
404,new to the area
405,quick and cheap
406,decent enough
407,cold and soggy
408,super helpful
409,latin american
410,very full
411,even more
412,very unhappy
413,extremely bad
414,very excited
415,more attentive
416,a little loud
417,so full
418,clean and spacious
419,so unprofessional
420,pretty expensive
421,only bad
422,absolutely beautiful
423,green and red
424,locally owned
425,more important
426,a bit small
427,so fun
428,quick and efficient
429,wrong with it
430,7 oz
431,close to the airport
432,dry 101
433,perfectly cooked
434,so disappointed
435,spicy and delicious
436,a little disappointing
437,very nervous
438,quite spicy
439,well enough
440,super crowded
441,fine by me
442,a little
443,just wonderful
444,so gentle
445,dine in
446,smooth and delicious
447,wrong with this place
448,very spicy
449,average at best
450,even sure
451,dimly lit
452,very strange
453,out of town
454,friendly helpful
455,really long
456,very tiny
457,so salty
458,most tender
459,tender and juicy
460,excellent and friendly
461,a little hard
462,really surprised
463,hole in the wall
464,pretty disappointing
465,pleasant and helpful
466,too hot
467,quite disappointed
468,over easy
469,just alright
470,super dirty
471,so dry
472,super affordable
473,very moist
474,no better
475,very uncomfortable
476,equally good
477,extremely poor
478,very fatty
479,more traditional
480,very tough
481,nice and attentive
482,quite high
483,perfectly seasoned
484,wonderful too
485,fairly priced
486,absolutely delicious
487,quite bland
488,worse and worse
489,well oiled
490,a bit hard
491,efficient and friendly
492,the best
493,most favorite
494,very last
495,great and fast
496,extremely pleasant
497,good and fresh
498,hard for me
499,very typical
500,relatively new
501,pretty unique
502,very dark
503,very surprised
504,very nice and clean
505,sweet and spicy
506,so nice and friendly
507,very pleasantly surprised
508,so called
509,super easy
510,more pleased
511,sweet and salty
512,so thick
513,highly enough
514,warm and friendly
515,very juicy
516,perfectly fried
517,freshly prepared
