,0
0,much better
1,so much
2,so many
3,not sure
4,how much
5,as good
6,very busy
7,well worth
8,super nice
9,how many
10,quite good
11,good too
12,pretty decent
13,really great
14,worth it
15,very little
16,very small
17,highly recommended
18,even better
19,too busy
20,friendly and helpful
21,great too
22,how good
23,too many
24,just okay
25,needless to say
26,really cool
27,very sweet
28,very large
29,very accommodating
30,very comfortable
31,way better
32,too long
33,so much better
34,so sweet
35,a little more
36,fresh and delicious
37,really bad
38,so fresh
39,consistently good
40,really friendly
41,not worth
42,hot and sour
43,really busy
44,most recent
45,as much
46,super busy
47,pretty tasty
48,fast and friendly
49,extremely friendly
50,much more
51,pretty cool
52,so glad
53,very relaxing
54,too salty
55,very knowledgeable
56,totally worth
57,very few
58,super fast
59,pretty bad
60,the best
61,very limited
62,definitely worth
63,very long
64,pretty standard
65,very pleasant
66,friendly and attentive
67,only good
68,nice and clean
69,very bland
70,how great
71,very polite
72,very tender
73,a little slow
74,out of this world
75,pretty busy
76,any better
77,pretty nice
78,very generous
79,too crowded
80,extremely nice
81,not great
82,pretty great
83,quite tasty
84,very friendly and helpful
85,pretty small
86,just right
87,too small
88,good enough
89,all good
90,super tasty
91,very simple
92,way too much
93,piping hot
94,most amazing
95,quick and friendly
96,hot and fresh
97,well done
98,very big
99,very satisfied
100,a bit slow
101,a bit dry
102,well seasoned
103,most important
104,very fair
105,that bad
106,pretty much
107,a lot better
108,super fresh
109,quite large
110,worth the wait
111,very welcoming
112,far better
113,very high
114,watered down
115,a bit pricey
116,even worse
117,very old
118,too late
119,completely different
120,take out
121,quite busy
122,really delicious
123,very quick
124,enough good
125,very easy
126,very cold
127,very convenient
128,so busy
129,not good
130,a little dry
131,super delicious
132,very salty
133,so rude
134,a little better
135,very efficient
136,bad at all
137,very hot
138,so happy
139,very modern
140,less expensive
141,very casual
142,very hard
143,most delicious
144,all delicious
145,pretty full
146,as bad
147,very reasonably priced
148,very nice and friendly
149,friendly and efficient
150,how long
151,worth the money
152,brand new
153,so yummy
154,very best
155,needless to say i
156,extremely busy
157,ready to order
158,damn good
159,very unprofessional
160,fairly large
161,soft she will
162,medium rare
163,as many
164,not enough
165,helpful and friendly
166,very first
167,very low
168,much worse
169,sweet and savory
170,pretty empty
171,so small
172,so helpful
173,extremely slow
174,very unique
175,nice enough
176,very different
177,very hungry
178,very courteous
179,very cheap
180,still good
181,rather large
182,worth a try
183,much larger
184,freshly baked
185,so excited
186,really hungry
187,absolutely wonderful
188,too spicy
189,just fine
190,super cool
191,very crowded
192,open late
193,very popular
194,so close
195,fresh and hot
196,very loud
197,a little disappointed
198,too loud
199,nice and friendly
200,fresh and tasty
201,really worth
202,very difficult
203,much nicer
204,well lit
205,nicely decorated
206,good at all
207,very clear
208,very good
209,how delicious
210,very disappointing
211,very friendly and attentive
212,very fast
213,how wonderful
214,great tasting
215,very quiet
216,deep fried
217,worth the drive
218,a little higher
219,extremely clean
220,so clean
221,quite nice
222,close by
223,not so much
224,very personable
225,fairly good
226,pretty cheap
227,more than enough
228,definitely better
229,well made
230,year old
231,pretty high
232,thin and crispy
233,so hard
234,a little too much
235,super helpful
236,so tender
237,most expensive
238,so cute
239,a little small
240,follow up
241,very thin
242,just average
243,friendly and quick
244,so long
245,fairly priced
246,all you
247,super attentive
248,super friendly and helpful
249,too big
250,worth the price
251,how nice
252,even busy
253,nothing special
254,more affordable
255,a little bland
256,not much
257,most popular
258,so comfortable
259,very interesting
260,incredibly friendly
261,very least
262,friendly and fast
263,a bit much
264,very rushed
265,very impressive
266,very caring
267,not too sweet
268,pretty clean
269,surprisingly good
270,a little overpriced
271,very similar
272,really helpful
273,extremely helpful
274,very thick
275,so popular
276,way more
277,most authentic
278,very full
279,even more
280,very thorough
281,very crispy
282,free of charge
283,very satisfying
284,more important
285,way bigger
286,fairly quick
287,how hard
288,ready to go
289,not as good
290,too shabby
291,very next
292,decently priced
293,completely empty
294,top notch
295,dimly lit
296,extremely dry
297,a bit high
298,friendly and professional
299,very short
300,more attentive
301,worth every penny
302,extremely friendly and helpful
303,much smaller
304,hard to find
305,so much more
306,quick and easy
307,pretty disappointed
308,most disappointing
309,so big
310,a lot more
311,attentive and friendly
312,10 oz
313,super awesome
314,extremely disappointed
315,pretty solid
316,too little
317,pretty simple
318,friendly enough
319,a bit small
320,really impressed
321,really big
322,how big
323,so glad i did
324,hot sour
325,too good
326,really yummy
327,dirt cheap
328,a little loud
329,so impressed
330,a bit steep
331,perfectly cooked
332,very inexpensive
333,too bad
334,a little spicy
335,newly opened
336,right at home
337,exactly what
338,no different
339,that busy
340,pretty quick
341,too greasy
342,freshly prepared
343,equally delicious
344,busy at all
345,nice too
346,very patient
347,not to like
348,good and cheap
349,very mediocre
350,really fresh
351,very very good
352,too high
353,kind of small
354,very annoying
355,very decent
356,too hot
357,a bit disappointing
358,much higher
359,ice cold
360,most likely
361,more authentic
362,sweet and spicy
363,very moist
364,nothing more
365,no better
366,equally good
367,a bit greasy
368,more traditional
369,a little tough
370,worth every
371,second to none
372,fairly busy
373,quite slow
374,well decorated
375,as big
376,pretty bland
377,extremely professional
378,perfectly seasoned
379,much easier
380,just what
381,fresh and crisp
382,very talented
383,a bit disappointed
384,better off
385,not ready
386,amazing too
387,very dark
388,a little easier
389,delicious and fresh
390,very juicy
391,hot and spicy
392,really sweet
393,totally different
394,quite sure
395,so hot
396,so simple
397,most beautiful
398,too pricey
399,hot and delicious
400,better and better
401,locally sourced
402,almost empty
403,really reasonable
404,as great
405,quick and cheap
406,overly sweet
407,latin american
408,very honest
409,nice and crispy
410,light and fluffy
411,very much
412,very excited
413,freshly fried
